Node1,Node2,Type,Gnarl,Route
DobsonPuffer,DobsonMarchant,Track,Gnarly,SC:MSK
COG,DobsonPuffer,Track,Gnarly,SC:SKV:CSK:TSK:MSK
Puffer,SmithCreek,Track,Gnarly,SKV:CSK:TSK
DobsonPuffer,Puffer,Track,Gnarly,SKV:CSK:TSK
DobsonMarchant,Marchant,Track,Gnarly,SC:MSK
Marchant,MarchantXVI,Track,Gnarly,SC:MSK
DobsonMarchant,SmithCreek,Track,Medium,NA
SmithCreek,TnkBridge,Track,Medium,SKV:CSK:TSK
TnkBridge,TnkXVI,Track,VeryGnarly,SKV:CSK:TSK
TnkXVI,TnkXVILeft,RiverCrossing,Medium,NA
MarchantXVI,TnkXVI,Track,Gnarly,NA
MarchantXVI,Omega,Track,Medium,SC:MSK
Omega,TtwLeft,Track,Gnarly,NA
TtwLeft,TtwRiver,RiverCrossing,Medium,NA
TtwLeft,Tutuwai,Track,Low,NA
Tutuwai,Reeves,Track,VeryGnarly,NA
Reeves,745,Track,Gnarly,NA
745,Waiohine,Track,Gnarly,NA
Waiohine,ConeJctn,Track,Gnarly,NH
ConeHutJctn,ConeJctn,Track,Gnarly,NA
ConeHutJctn,ConeHut,Track,Medium,SKV:CSK:TSK
ConeHut,BullMoundRight,Track,Low,NA
BullMoundLeft,BullMoundRight,RiverCrossing,Medium,NA
BullMoundLeft,BullMound,Track,VeryGnarly,NA
BullMound,HellsGateJunctn,Track,Gnarly,NA
HellsGateJunctn,Omega,Track,Gnarly,SC:MSK
TnkXVILeft,Tutuwai,Track,Low,SKV:CSK:TSK
HellsGate,HellsGateJunctn,Track,Gnarly,SC
Tutuwai,ConeHut,Track,Low,SKV:CSK:TSK
HellsGate,AlphaHut,Track,Gnarly,SC:MSK
AlphaHut,Alpha,Track,Gnarly,SC:MSK
Alpha,Aston,Track,VeryGnarly,SC:MSK
Aston,Atkinson,Track,VeryGnarly,SC:MSK
Atkinson,Beehives,Track,VeryGnarly,SC:MSK
Beehives,Hector,Track,Gnarly,SC:MSK
Hector,Winchcombe,Track,VeryGnarly,NH
Winchcombe,WinchcombeBiv,Track,Gnarly,NH
WinchcombeBiv,Neill,Track,Gnarly,NH
Neill,NeillJctn,Track,VeryGnarly,NH
NeillSaddle,NeillJctn,Track,VeryGnarly,NH
Cone,NeillSaddle,Track,VeryGnarly,NH
Cone,ConeSaddle,Track,Gnarly,NH
ConeSaddle,ConeJctn,Track,Gnarly,NH
ConeSaddle,ConeHutJctn,Track,Medium,SKV:CSK:TSK
ConeSaddle,MakakaBridge,Track,Medium,SKV:CSK:TSK
Waiohine,MakakaBridge,Track,Gnarly,NA
MakakaBridge,TotaraFlats,Track,Medium,SKV:CSK:TSK
TotaraFlats,TotaraFlatsHut,Track,Low,SKV:CSK:TSK
TotaraFlatsHut,TotaraCreekBridge,Track,Low,SKV:CSK:TSK
TotaraCreekBridge,ConeRidgeJctn,Track,Gnarly,NA
ConeRidgeJctn,Cone,Track,Gnarly,NA
ConeRidgeJctn,NeillForks,Track,Unknown,NA
NeillForks,ConcertinaKnob,Track,Unknown,NA
ConcertinaKnob,Maungahuka,Track,Unknown,NA
Maungahuka,TuitiTunui,Track,Unknown,MSK
TuitiTunui,McIntoshJctn,Track,Unkown,MSK
McIntoshJctn,McIntosh,Track,Unknown,MSK
McIntosh,Yeates,Track,Unknown,MSK
Yeates,Vosseler,Track,Unknown,MSK
Vosseler,BoydWilson,Track,Unknown,MSK
BoydWilson,Bridge,Track,Unknown,MSK
Bridge,Kime,Track,Gnarly,SC:MSK
Kime,Field,Track,Gnarly,SC:MSK
Field,Hector,Track,VeryGnarly,SC:MSK
Field,Dennan,Track,Medium,SC
Dennan,TableTopJctn,Track,Medium,SC
TableTopJctn,TableTop,Track,Medium,SC
TableTop,FieldHut,Track,Medium,SC
FieldHut,Tirotiro,Track,Medium,SC
Tirotiro,591,Track,Medium,SC
591,Boielles,Track,Low,SC
Boielles,YTWW,Track,Unknown,TA
YTWW,ShoulderKnob,Track,Unknown,TA
YTWW,OtakiHut,River,Unknown
Kelleher,OtakiHut,BushBash,Unknown
ShoulderKnob,JctnKnob,Track,Unknown,TA
JctnKnob,AndersonMemHut,Track,Unknown,MSK
AndersonMemHut,Kahiwiroa,Track,Unknown,MSK
Kahiwiroa,Aokaparangi,Track,Unknown,MSK
Aokaparangi,AokaparangiHut,Track,Unknown,NA
Aokaparangi,Simpson,Track,Unknown,MSK
Simpson,Maungahuka,Track,Unknown,MSK
Aokaparangi,MidWaiohine,Track,Unknown,NA
MidWaiohine,Isabelle,Track,Unknown,NA
Isabelle,Holdsworth,Track,Unknown,NA
Holdsworth,Powell,Track,Unknown,JH:CSK:TSK
Powell,MtnHouse,Track,Unknown,JH:CSK:TSK
MtnHouse,PigFlat,Track,Unknown,JH:CSK:TSK
PigFlat,GentleAnnieJctn,Track,Unknown,JH:SKV:CSK:TSK
GentleAnnieJctn,DonnellyJctn,Track,Unknown,JH
DonnellyJctn,HoldsworthLodge,Track,Unknown,JH
GentleAnnieJctn,TotaraCreekBridge,Track,Unknown,SKV:CSK:TSK
RiverRidge,PigFlat,Track,Unknown,SKV
RiverRidge,DonnellyJctn,Track,Unknown,JH
RiverRidge,EastHoldsworthJctn,Track,Unknown,NA
EastHoldsworthJctn,Holdsworth,Track,Unknown,JH:CSK:TSK
EastHoldsworthJctn,Jumbo,Track,Unknown,JH:CSK:TSK
Jumbo,JumboHut,Track,Unknown,JH
JumboHut,Atiwhakatu,Track,Unknown,JH
Atiwhakatu,RiverRidge,Track,Unknown,JH:SKV
AtiwhakatuJctn,Atiwhakatu,Track,Unknown,SKV
AtiwhakatuJctn,BaldyJctn,Track,Unknown,SKV
Baldy,BaldyJctn,Track,Unknown,NA
SouthKing,Baldy,Ridge,Unknown,NA
SouthKing,BAP,Ridge,Unknown,TSK
BAP,McGregor,Ridge,Unknown,TSK
AngleKnob,McGregor,Ridge,Unknown,TSK
AngleKnob,Jumbo,Ridge,Unknown,CSK:TSK
AngleKnob,Aircraft,Ridge,Unknown,NA
BartonJctn,BaldyJctn,Track,Unknown,SKV
BartonJctn,ThePines,Track,Unknown,NC
BartonJctn,MitreFlats,Track,Unknown,SKV:NC
MitreFlats,Mitre,Track,Unknown,NC
Mitre,Girdlestone,Track,Unknown,NC
Girdlestone,Adkin,Track,Unknown,TSK
Adkin,NorthKing,Track,Unknown,TSK
NorthKing,MiddleKing,Track,Unknown,TSK
SouthKing,MiddleKing,Track,Unknown,TSK
Girdlestone,Dorset,Track,Unknown,NA
DorsetHut,Dorset,Track,Unknown,NA
TarnRidgeHut,Girdlestone,Track,Unknown,TSK:NC
WaiohinePinnacles,TarnRidgeHut,Track,Unknown,TSK:NC
WaiohinePinnacles,AreteForks,Track,Unknown,NA
CowCreek,AreteForks,Track,VeryGnarly,NA
CowCreek,MitreFlats,Track,Unknown,SKV
Kiriwhakapapa,Mikimiki,Track,Unknown,NA
CowCreek,TeMara,Track,Gnarly,NA
TeMara,BlueRange,Track,Gnarly,NA
BlueRange,BlueRangeHut,Track,Unknown,NA
